appno,startdate,stopdate,address,ward,gpsx,gpsy
SF1156876,2021-07-24 08:00:00,2021-07-24 04:00:00,401 William T Morrissey BLVD Dorchester 02125,13,778985.304897204,2937976.39276409
ERT684345,2021-07-24 08:00:00,2021-07-24 04:00:00,37 Farragut RD South Boston 02127,06,784511.678737827,2948172.7979871
ERT1037077,2021-07-24 08:00:00,2021-07-24 08:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
SF1179899,2021-07-24 08:00:00,2021-07-24 04:00:00,50 Leon ST Boston 02115,04,766648.001685425,2948521.90801701
ALT1029251,2021-07-24 08:00:00,2021-07-24 04:00:00,201 Brookline AVE Boston 02215,21,763639.531020556,2950939.49367545
ALT1171024,2021-07-24 08:00:00,2021-07-24 04:00:00,51 Harvard WAY Allston 02134,22,758581.860718697,2958749.45677426
ERT946201,2021-07-24 08:00:00,2021-07-24 04:00:00,50 to 56 Leo M Birmingham PW Brighton 02135,22,751721.538001284,2956425.77682287
ALT1131759,2021-07-24 08:00:00,2021-07-24 04:00:00,11 Beckler AVE South Boston 02127,06,781458.0193315,2946867.12214836
ERT605925,2021-07-24 08:00:00,2021-07-24 04:00:00,55 W Fifth ST South Boston 02127,06,776243.811162358,2949091.09361044
SF1164006,2021-07-24 08:00:00,2021-07-24 04:00:00,21 Lexington ST East Boston 02128,01,780763.388042629,2962784.61275133
ALT1164641,2021-07-24 08:00:00,2021-07-24 04:00:00,9-11 Whitford St Roslindale 02131,18,756420.229448413,2927676.80670675
ERT780842,2021-07-24 08:00:00,2021-07-24 04:00:00,370 to 398 Harrison AV Roxbury 02118,03,774093.498909787,2950677.94678286
ERT889196,2021-07-24 08:00:00,2021-07-24 04:00:00,21 to 35 W Second ST South Boston 02127,06,776136.391640912,2950397.91929584
ERT927721,2021-07-24 08:00:00,2021-07-24 04:00:00,55 Bigelow ST Brighton 02135,22,746069.593880421,2954163.79741242
ALT1124513,2021-07-24 08:00:00,2021-07-24 04:00:00,125 to 139 Harvard ST Dorchester 02121,14,769902.927800745,2933418.25810385
SF1186193,2021-07-24 08:00:00,2021-07-24 04:00:00,10 Speare PL Boston 02115,04,767084.99999012,2949450.00000678
ALT541853,2021-07-24 08:00:00,2021-07-24 04:00:00,1012 to 1016 Bennington ST East Boston 02128,01,789540.161195025,2966464.14226262
ERT879664,2021-07-24 08:00:00,2021-07-24 04:00:00,25 Porter ST East Boston 02128,01,780964.629982022,2961766.3076191
ERT888715,2021-07-24 08:00:00,2021-07-24 04:00:00,1545 VFW PW West Roxbury 02132,20,744927.758744938,2922980.32535541
SF1201845,2021-07-24 08:00:00,2021-07-25 04:00:00,7 Hill ST Charlestown 02129,02,773868.897244439,2964192.1791245
SF1165009,2021-07-24 08:00:00,2021-07-24 04:00:00,2 Brookview ST Dorchester 02124,14,766982.398051441,2930410.15124828
ERT1125422,2021-07-24 08:00:00,2021-07-24 04:00:00,191 Washington St Brighton 02135,21,751519.93342847,2951864.560624
SF1186691,2021-07-24 08:00:00,2021-07-07 04:00:00,56 Winship ST Brighton 02135,22,750236.601602999,2951474.6943013
ERT924772,2021-07-24 08:00:00,2021-07-24 04:00:00,97 Condor ST East Boston 02128,01,781371.738627419,2964738.28037301
ERT944723,2021-07-24 08:00:00,2021-07-24 04:00:00,160 Pleasant ST Dorchester 02125,15,775295.218347197,2938377.39442313
ERT869548,2021-07-24 08:00:00,2021-07-24 04:00:00,142 to 144 Old Colony AV South Boston 02127,07,776500.783944913,2947384.77384276
ALT1142943,2021-07-24 08:00:00,2021-07-24 04:00:00,48 Pearl ST Charlestown 02129,02,773993.720188558,2963558.70731591
ERT971653,2021-07-24 08:00:00,2021-07-24 04:00:00,174 Ipswich ST Boston 02215,05,765631.893206522,2951467.02448878
ERT839405,2021-07-24 08:00:00,2021-07-24 04:00:00,106 Forest Hills ST Jamaica Plain 02130,11,763744.504978269,2937628.20751587
ALT1049268,2021-07-24 08:00:00,2021-07-24 00:00:00,500 Rutherford AVE Charlestown 02129,02,771544.660578717,2964297.09335844
ALT1166966,2021-07-24 08:00:00,2021-07-24 04:00:00,179 Kenrick ST Brighton 02135,22,745231.819713771,2951633.09085681
ALT1136597,2021-07-24 08:00:00,2021-07-24 04:00:00,157 W Ninth ST South Boston 02127,07,776838.729599208,2947061.14598855
ALT1195719,2021-07-24 08:00:00,2021-07-24 04:00:00,370 Huntington AVE Boston 02115,04,767427.696458956,2948942.51628023
ERT914543,2021-07-24 08:00:00,2021-07-24 04:00:00,2 Neponset AV Dorchester 02122,16,776305.447174549,2933676.64583978
SF1220176,2021-07-24 08:00:00,2021-07-24 04:00:00,77A W Milton St Hyde Park 02136,18,754201.613735239,2912258.45199519
ERT793552,2021-07-24 08:00:00,2021-07-24 04:00:00,80 Terrace ST Mission Hill 02120,10,765038.679306946,2945314.16633694
ERT956190,2021-07-24 08:00:00,2021-07-24 04:00:00,521 E Eighth ST South Boston 02127,07,780400.923662616,2946070.09687061
ERT1114527,2021-07-24 08:00:00,2021-07-24 04:00:00,1710 Dorchester AV Dorchester 02124,16,774547.840452595,2931611.96567031
ERT827963,2021-07-24 08:00:00,2021-07-24 04:00:00,3 to 7 Washington ST Brighton 02135,21,753539.454771328,2950024.74251702
ERT860180,2021-07-24 08:00:00,2021-07-24 04:00:00,197 to 201 Green ST Jamaica Plain 02130,11,762930.661521191,2938103.40745386
ERT720998,2021-07-24 08:00:00,2021-07-24 04:00:00,212 to 222 Stuart ST Boston 02116,05,772851.702564451,2953022.72406189
A1206842,2021-07-24 08:00:00,2021-07-24 04:00:00,20 to 22 Fleet ST Boston 02113,03,777009.941503361,2958242.70958297
ALT76588,2021-07-24 08:00:00,2021-07-24 04:00:00,815 E Fifth ST South Boston 02127,06,783789.50715369,2947062.79510827
ERT1114525,2021-07-24 08:00:00,2021-07-24 04:00:00,1700 Dorchester AV Dorchester 02122,16,774606.270794697,2931809.91378335
ALT1159386,2021-07-24 08:00:00,2021-07-24 04:00:00,1069 to 1071 Washington ST Dorchester 02124,17,772491.708923146,2925436.08113641
SF1197492,2021-07-24 08:00:00,2021-07-24 06:00:00,421 to 425 Market ST Brighton 02135,22,749778.916518003,2952601.89165771
ERT837335,2021-07-24 08:00:00,2021-07-24 04:00:00,197 to 207 Maverick ST East Boston 02128,01,781458.330316569,2959741.725781
ERT652809,2021-07-24 08:00:00,2021-07-24 04:00:00,40 Trinity PL Boston 02116,04,771014.362504263,2952248.97698261
SF1160091,2021-07-24 08:00:00,2021-07-24 04:00:00,156 Saratoga ST East Boston 02128,01,781852.016067877,2962875.00603528
ALT1187937,2021-07-24 08:00:00,2021-07-24 04:00:00,360 Huntington AVE Boston 02115,04,767312.999990329,2949210.00000656
ALT990408,2021-07-24 08:00:00,2021-07-24 04:00:00,225 W Third ST South Boston 02127,06,778051.058216213,2948876.21847114
ALT1004642,2021-07-24 08:00:00,2021-07-24 04:00:00,279 North ST Boston 02109,03,777329.127676036,2957991.36792978
ERT779522,2021-07-24 08:00:00,2021-07-25 06:00:00,35 Lomasney WY Boston 02114,03,773757.132764416,2958442.69955219
ERT682958,2021-07-24 08:00:00,2021-07-24 04:00:00,95 Saint Alphonsus ST Mission Hill 02120,10,763969.604670178,2946904.83161202
SF1201881,2021-07-24 08:00:00,2021-07-24 04:00:00,10 Speare PL Boston 02115,04,767084.99999012,2949450.00000678
ERT945270,2021-07-24 07:00:00,2021-07-24 04:00:00,10 Fan Pier BL Boston 02210,06,779200.137100615,2954292.71634944
ERT1156940,2021-07-24 07:00:00,2021-07-24 05:00:00,1 to 27 Boston Wharf RD Boston 02210,06,778765.34540883,2952920.41322091
ERT694732,2021-07-24 07:00:00,2021-07-24 04:00:00,47 Lagrange St Boston 02116,03,774011.897648124,2953523.44014937
ERT1022776,2021-07-24 07:00:00,2021-07-25 11:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
SF1118362,2021-07-24 07:00:00,2021-07-24 05:00:00,725 William T Morrissey BLVD Dorchester 02122,16,777895.406161305,2933404.987481
ALT1147286,2021-07-24 07:00:00,2021-07-24 04:00:00,53 Marlborough ST Boston 02116,05,771110.672761872,2954360.52503535
ALT1078513,2021-07-24 07:00:00,2021-07-24 04:00:00,264 Huntington AVE Boston 02115,04,768202.169655159,2949865.56951116
ALT1111252,2021-07-24 07:00:00,2021-07-24 04:00:00,1 City Hall PLZ Boston 02108,03,775553.486225639,2956629.78240587
A1190012,2021-07-24 07:00:00,2021-07-24 03:00:00,250 Massachusetts AVE Boston 02115,04,768367.832475904,2950820.82420216
ERT836145,2021-07-24 07:00:00,2021-07-24 04:00:00,217 Albany ST Roxbury 02118,03,774648.890653163,2951211.55456841
ALT1036141,2021-07-24 07:00:00,2021-07-24 04:00:00,640 Soldiers Field RD Boston 02134,22,758860.24250129,2958629.05880281
ERT1069585,2021-07-24 07:00:00,2021-07-24 04:00:00,36 Rossmore RD Jamaica Plain 02130,11,762512.49834142,2936345.00689725
ERT611289,2021-07-24 07:00:00,2021-07-24 03:00:00,640 to 720 Atlantic AVE Boston 02110,03,776202.354349032,2952889.18338986
ALT1027029,2021-07-24 07:00:00,2021-07-24 05:00:00,650 to 660 Beacon ST Boston 02215,05,765362.804451578,2952578.93156469
SF1157838,2021-07-24 07:00:00,2021-07-25 05:00:00,245 Summer ST Boston 02210,03,776764.512415126,2953392.69380245
ERT926421,2021-07-24 07:00:00,2021-07-24 03:00:00,111 Francis ST Boston 02215,04,761685.671246347,2948244.27590427
ALT1164854,2021-07-24 07:00:00,2021-07-24 04:00:00,660 Soldiers Field RD Boston 02163,22,758595.304176728,2959087.952954
ALT1199705,2021-07-24 07:00:00,2021-07-24 03:00:00,84 Pilgrim RD Boston 02215,04,762828.926370123,2949570.58073477
ERT660670,2021-07-24 07:00:00,2021-07-24 04:00:00,89 to 95 Brighton AVE Allston 02134,21,756250.674532523,2953849.44359845
ALT792588,2021-07-24 07:00:00,2021-07-24 04:00:00,100 E Newton ST Boston 02118,08,772366.737330346,2947872.38131904
ERT546146,2021-07-24 07:00:00,2021-07-24 04:00:00,25 Amory ST Roxbury 02119,11,764517.408895015,2942574.90232959
ERT1051939,2021-07-24 07:00:00,2021-07-24 03:00:00,450 Massachusetts AV Roxbury 02118,09,769359.400353541,2949397.09788783
ALT1201347,2021-07-24 07:00:00,2021-07-24 03:00:00,70 Forsyth ST Boston 02115,04,767153.878736444,2948696.58287889
ALT997205,2021-07-24 06:30:00,2021-07-24 03:00:00,173 to 175 Ipswich ST Boston 02215,05,765498.895769104,2951617.05962177
ERT923956,2021-07-24 06:00:00,2021-07-24 05:00:00,99 Blackstone ST Boston 02109,03,776223.773998626,2957083.3989286
ALT902102,2021-07-24 06:00:00,2021-07-24 06:00:00,1 Post Office SQ Boston 02109,03,776448.999998838,2955360.00001228
ALT1137667,2021-07-24 06:00:00,2021-07-24 02:00:00,500 Boylston ST Boston 02116,04,771346.977370083,2953049.76266612
ALT1197818,2021-07-24 06:00:00,2021-07-24 04:00:00,200 Clarendon ST Boston 02116,04,771016.891385779,2952567.07111368
ALT955915,2021-07-24 06:00:00,2021-07-30 07:00:00,50 SUDBURY ST NorthEnd/ 02113,03,0,0
ERT992394,2021-07-24 06:00:00,2021-07-25 06:00:00,370 Summer St Boston 02210,06,778724.107257731,2952469.45856894
ERT536891,2021-07-24 06:00:00,2021-07-24 06:00:00,50 to 150 Causeway ST Boston 02114,03,774628.606784228,2958574.97927649
ERT925378,2021-07-24 06:00:00,2021-07-30 07:00:00,50 Sudbury ST Boston 02114,03,775122.909848592,2957324.56369139
ERT1053313,2021-07-24 06:00:00,2021-07-24 06:00:00,271 E Eighth ST South Boston 02127,07,777874.736848174,2946167.4612485
SF1212088,2021-07-24 05:00:00,2021-07-24 07:00:00,125 Summer ST Boston 02111,03,775795.985719974,2954017.43867304
SF1189761,2021-07-24 05:00:00,2021-07-24 02:00:00,440 Huntington AVE Boston 02115,04,766383.009672184,2948669.40201974
SF1118362,2021-07-22 02:00:00,2021-07-22 11:59:00,725 William T Morrissey BLVD Dorchester 02122,16,777895.406161305,2933404.987481
ERT652809,2021-07-21 06:00:00,2021-07-24 01:00:00,40 Trinity PL Boston 02116,04,771014.362504263,2952248.97698261
ERT1022776,2021-07-21 06:00:00,2021-07-23 10:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
ERT1037077,2021-07-21 05:00:00,2021-07-23 05:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
SF1208515,2021-07-21 04:00:00,2021-07-22 06:00:00,143 Washington St Brighton 02135,21,752217.435715471,2951851.98866787
SF1212088,2021-07-19 11:00:00,2021-07-22 07:00:00,125 Summer ST Boston 02111,03,775795.985719974,2954017.43867304
PL1224129,2021-07-19 06:00:00,2021-07-24 12:00:00,155 Dorchester ST South Boston 02127,07,778316.882336572,2947225.6314607
ERT1022776,2021-07-19 06:00:00,2021-07-20 10:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
ALT902102,2021-07-19 06:00:00,2021-07-23 07:00:00,1 Post Office SQ Boston 02109,03,776448.999998838,2955360.00001228
ERT779522,2021-07-19 06:00:00,2021-07-23 11:00:00,35 Lomasney WY Boston 02114,03,773757.132764416,2958442.69955219
ERT1005194,2021-07-19 06:00:00,2021-07-23 11:00:00,1870 Columbus AVE Roxbury 02119,11,764953.384628132,2941310.78307119
SF1206601,2021-07-19 06:00:00,2021-07-22 06:00:00,695 Atlantic AVE Boston 02134,03,776076.208830491,2953460.8962665
ALT1029251,2021-07-19 06:00:00,2021-07-23 11:00:00,201 Brookline AVE Boston 02215,21,763639.531020556,2950939.49367545
ERT1037077,2021-07-19 05:00:00,2021-07-21 05:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
ERT891330,2021-07-19 05:00:00,2021-07-25 11:00:00,43 to 61 Pier 4 BL Boston 02210,06,779190.015983332,2952969.24454191
ERT860060,2021-07-19 05:00:00,2021-07-19 07:00:00,115 Federal ST Boston 02110,03,775909.575902343,2954524.89089151
ALT1176335,2021-07-18 11:00:00,2021-07-22 06:00:00,290 Congress ST Boston 02110,03,777163.249990731,2953970.45139917
ALT995800,2021-07-18 10:00:00,2021-07-23 07:00:00,7 Allstate RD Dorchester 02125,07,774254.527260795,2945338.60726695
ALT1115387,2021-07-18 08:00:00,2021-07-18 04:00:00,46 Melrose ST Boston 02116,05,772736.599995375,2952477.3055456
ERT652809,2021-07-18 08:00:00,2021-07-18 04:00:00,40 Trinity PL Boston 02116,04,771014.362504263,2952248.97698261
ERT1022776,2021-07-18 07:00:00,2021-07-18 11:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
ALT902102,2021-07-18 07:00:00,2021-07-18 07:00:00,1 Post Office SQ Boston 02109,03,776448.999998838,2955360.00001228
SF1212088,2021-07-18 06:00:00,2021-07-18 07:00:00,125 Summer ST Boston 02111,03,775795.985719974,2954017.43867304
ERT891330,2021-07-18 06:00:00,2021-07-18 06:00:00,43 to 61 Pier 4 BL Boston 02210,06,779190.015983332,2952969.24454191
ERT611289,2021-07-17 09:00:00,2021-07-23 05:00:00,640 to 720 Atlantic AVE Boston 02110,03,776202.354349032,2952889.18338986
ALT1166966,2021-07-17 08:00:00,2021-07-17 12:00:00,179 Kenrick ST Brighton 02135,22,745231.819713771,2951633.09085681
ERT888715,2021-07-17 08:00:00,2021-07-17 04:00:00,1545 VFW PW West Roxbury 02132,20,744927.758744938,2922980.32535541
SF1165009,2021-07-17 08:00:00,2021-07-17 04:00:00,2 Brookview ST Dorchester 02124,14,766982.398051441,2930410.15124828
ERT1125422,2021-07-17 08:00:00,2021-07-17 04:00:00,191 Washington St Brighton 02135,21,751519.93342847,2951864.560624
ERT874356,2021-07-17 08:00:00,2021-07-17 04:00:00,10 to 12 Heathcote ST Roslindale 02131,19,757337.274202745,2927888.41592546
ERT879664,2021-07-17 08:00:00,2021-07-17 04:00:00,25 Porter ST East Boston 02128,01,780964.629982022,2961766.3076191
SF1201881,2021-07-17 08:00:00,2021-07-17 04:00:00,10 Speare PL Boston 02115,04,767084.99999012,2949450.00000678
ERT720998,2021-07-17 08:00:00,2021-07-17 04:00:00,212 to 222 Stuart ST Boston 02116,05,772851.702564451,2953022.72406189
SF1186691,2021-07-17 08:00:00,2021-07-17 04:00:00,56 Winship ST Brighton 02135,22,750236.601602999,2951474.6943013
ERT924772,2021-07-17 08:00:00,2021-07-17 04:00:00,97 Condor ST East Boston 02128,01,781371.738627419,2964738.28037301
ERT889196,2021-07-17 08:00:00,2021-07-17 04:00:00,21 to 35 W Second ST South Boston 02127,06,776136.391640912,2950397.91929584
ERT780842,2021-07-17 08:00:00,2021-07-17 04:00:00,370 to 398 Harrison AV Roxbury 02118,03,774093.498909787,2950677.94678286
ERT1067391,2021-07-17 08:00:00,2021-07-17 04:00:00,180 Ruggles ST Mission Hill 02120,09,767577.539740885,2947071.5150217
ALT1131759,2021-07-17 08:00:00,2021-07-17 06:00:00,11 Beckler AVE South Boston 02127,06,781458.0193315,2946867.12214836
SF1164006,2021-07-17 08:00:00,2021-07-17 04:00:00,21 Lexington ST East Boston 02128,01,780763.388042629,2962784.61275133
ERT1114527,2021-07-17 08:00:00,2021-07-17 04:00:00,1710 Dorchester AV Dorchester 02124,16,774547.840452595,2931611.96567031
ERT827963,2021-07-17 08:00:00,2021-07-17 04:00:00,3 to 7 Washington ST Brighton 02135,21,753539.454771328,2950024.74251702
ERT775611,2021-07-17 08:00:00,2021-07-17 04:00:00,457 to 469A W Broadway South Boston 02127,06,778811.879521042,2947698.37011714
ALT76588,2021-07-17 08:00:00,2021-07-17 04:00:00,815 E Fifth ST South Boston 02127,06,783789.50715369,2947062.79510827
ERT1114525,2021-07-17 08:00:00,2021-07-17 04:00:00,1700 Dorchester AV Dorchester 02122,16,774606.270794697,2931809.91378335
SF1190679,2021-07-17 08:00:00,2021-07-17 04:00:00,10 Coventry ST Mission Hill 02120,09,768110.370854646,2948085.45205608
SF1134681,2021-07-17 08:00:00,2021-07-17 04:00:00,1428 Columbia RD South Boston 02127,07,779754.626497924,2945844.82285142
A1186146,2021-07-17 08:00:00,2021-07-17 04:00:00,20 to 22 Fleet ST Boston 02113,03,777009.941503361,2958242.70958297
SF1140114,2021-07-17 08:00:00,2021-07-17 04:00:00,11 Taylor ST Roxbury 02118,03,772781.140251428,2950618.94851986
ERT837335,2021-07-17 08:00:00,2021-07-17 04:00:00,197 to 207 Maverick ST East Boston 02128,01,781458.330316569,2959741.725781
ALT1159386,2021-07-17 08:00:00,2021-07-17 04:00:00,1069 to 1071 Washington ST Dorchester 02124,17,772491.708923146,2925436.08113641
ALT1029251,2021-07-17 08:00:00,2021-07-17 04:00:00,201 Brookline AVE Boston 02215,21,763639.531020556,2950939.49367545
ERT869548,2021-07-17 08:00:00,2021-07-17 04:00:00,142 to 144 Old Colony AV South Boston 02127,07,776500.783944913,2947384.77384276
ERT1069585,2021-07-17 08:00:00,2021-07-17 04:00:00,36 Rossmore RD Jamaica Plain 02130,11,762512.49834142,2936345.00689725
SF1160091,2021-07-17 08:00:00,2021-07-17 04:00:00,156 Saratoga ST East Boston 02128,01,781852.016067877,2962875.00603528
ALT1194124,2021-07-17 08:00:00,2021-07-17 04:00:00,4 Union PARK Roxbury 02118,03,772157.033018842,2950003.56227928
ERT891382,2021-07-17 08:00:00,2021-07-17 04:00:00,99 to 111 Sumner ST East Boston 02128,01,779815.990599976,2960070.13553971
ERT632117,2021-07-17 08:00:00,2021-07-17 04:00:00,301 to 303 Border ST East Boston 02128,01,780509.913771609,2963244.59373039
ERT833867,2021-07-17 08:00:00,2021-07-17 04:30:00,175 Howard AVE Dorchester 02125,13,771003.737216026,2939823.84498066
ERT684345,2021-07-17 08:00:00,2021-07-17 04:00:00,37 Farragut RD South Boston 02127,06,784511.678737827,2948172.7979871
ALT1172403,2021-07-17 08:00:00,2021-07-17 04:00:00,25 to 29 Charles ST Boston 02114,05,772484.048347145,2955384.16900431
ERT1037077,2021-07-17 08:00:00,2021-07-17 08:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
ALT1146079,2021-07-17 08:00:00,2021-07-17 04:00:00,21 Cordis ST Charlestown 02129,02,774344.483260885,2962126.10462658
SF1175174,2021-07-17 08:00:00,2021-07-17 04:00:00,47 Englewood AVE Brighton 02134,21,751565.212487668,2948480.62912588
ERT779522,2021-07-17 08:00:00,2021-07-18 06:00:00,35 Lomasney WY Boston 02114,03,773757.132764416,2958442.69955219
ERT943531,2021-07-17 08:00:00,2021-07-17 03:00:00,1301 Blue Hill AV Mattapan 02126,14,766231.947009637,2927335.43656435
ERT956190,2021-07-17 08:00:00,2021-07-17 04:00:00,521 E Eighth ST South Boston 02127,07,780400.923662616,2946070.09687061
SF1213226,2021-07-17 08:00:00,2021-07-17 04:00:00,70 Gates ST South Boston 02127,07,778370.899232626,2946216.45392376
ERT974770,2021-07-17 08:00:00,2021-07-17 04:00:00,533 to 545 Commonwealth AV Boston 02215,05,765102.756218559,2952524.65709038
ALT548592,2021-07-17 08:00:00,2021-07-17 04:00:00,161 Cottage ST East Boston 02128,01,782456.03712444,2960141.43153673
ERT682958,2021-07-17 08:00:00,2021-07-17 04:00:00,95 Saint Alphonsus ST Mission Hill 02120,10,763969.604670178,2946904.83161202
ERT725771,2021-07-17 08:00:00,2021-07-17 04:00:00,152 to 154 Liverpool ST East Boston 02128,01,780430.77477526,2961451.07344696
ALT1147286,2021-07-17 08:00:00,2021-07-17 04:00:00,53 Marlborough ST Boston 02116,05,771110.672761872,2954360.52503535
ERT914543,2021-07-17 08:00:00,2021-07-17 04:00:00,2 Neponset AV Dorchester 02122,16,776305.447174549,2933676.64583978
ERT793552,2021-07-17 08:00:00,2021-07-17 04:00:00,80 Terrace ST Mission Hill 02120,10,765038.679306946,2945314.16633694
ERT946012,2021-07-17 08:00:00,2021-07-17 04:00:00,36 Belmont ST Charlestown 02129,02,773609.228179921,2964320.5685874
SF1215133,2021-07-17 08:00:00,2021-07-17 04:00:00,26 Ward ST South Boston 02127,07,776641.463455021,2945485.78979509
ERT839405,2021-07-17 08:00:00,2021-07-17 04:00:00,106 Forest Hills ST Jamaica Plain 02130,11,763744.504978269,2937628.20751587
ERT1053313,2021-07-17 08:00:00,2021-07-18 04:00:00,271 E Eighth ST South Boston 02127,07,777874.736848174,2946167.4612485
ALT1118992,2021-07-17 08:00:00,2021-07-17 04:00:00,27 Alpine ST Roxbury 02119,12,767863.17010285,2943998.4796817
ERT912029,2021-07-17 08:00:00,2021-07-17 04:00:00,17 W Bellflower ST Dorchester 02125,07,775108.682912817,2943802.99257397
ALT1136597,2021-07-17 08:00:00,2021-07-17 04:00:00,157 W Ninth ST South Boston 02127,07,776838.729599208,2947061.14598855
SF1161102,2021-07-17 08:00:00,2021-07-17 04:00:00,157 Beacon ST Boston 02116,05,771001.95551376,2954480.24497145
ALT1079204,2021-07-17 08:00:00,2021-07-17 04:00:00,10 Claremont PARK Roxbury 02118,04,769375.615864247,2949898.63258319
ERT667018,2021-07-17 07:30:00,2021-07-17 03:30:00,191 to 195 Bowdoin ST Dorchester 02122,15,772886.775545523,2936427.34634246
ERT598525,2021-07-17 07:00:00,2021-07-17 04:00:00,632 to 638 Centre ST Jamaica Plain 02130,19,760616.903453436,2939506.83743512
ALT1189844,2021-07-17 07:00:00,2021-07-17 04:00:00,360 Huntington AVE Boston 02115,04,767312.999990329,2949210.00000656
ERT836145,2021-07-17 07:00:00,2021-07-17 04:00:00,217 Albany ST Roxbury 02118,03,774648.890653163,2951211.55456841
ERT1051939,2021-07-17 07:00:00,2021-07-17 03:00:00,450 Massachusetts AV Roxbury 02118,09,769359.400353541,2949397.09788783
ERT1043621,2021-07-17 07:00:00,2021-07-18 04:00:00,1260 Boylston ST Boston 02215,05,765375.893633562,2950965.42192672
SF1126066,2021-07-17 07:00:00,2021-07-17 06:00:00,8 Glenside AVE Jamaica Plain 02130,11,764088.525555328,2937541.12041168
ERT546146,2021-07-17 07:00:00,2021-07-17 04:00:00,25 Amory ST Roxbury 02119,11,764517.408895015,2942574.90232959
ERT1005194,2021-07-17 07:00:00,2021-07-17 04:00:00,1870 Columbus AVE Roxbury 02119,11,764953.384628132,2941310.78307119
ERT1005194,2021-07-17 07:00:00,2021-07-17 04:00:00,1870 Columbus AVE Roxbury 02119,11,764953.384628132,2941310.78307119
ALT933170,2021-07-17 07:00:00,2021-07-17 03:00:00,100 to 112 Shawmut AV Roxbury 02118,03,773586.694915622,2951642.70556112
ERT611289,2021-07-17 07:00:00,2021-07-17 03:00:00,640 to 720 Atlantic AVE Boston 02110,03,776202.354349032,2952889.18338986
ALT1027029,2021-07-17 07:00:00,2021-07-17 05:00:00,650 to 660 Beacon ST Boston 02215,05,765362.804451578,2952578.93156469
ERT1022776,2021-07-17 07:00:00,2021-07-17 11:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
ALT1064161,2021-07-17 07:00:00,2021-07-17 04:00:00,179 Newbury ST Boston 02116,05,769842.742424682,2953088.21530616
ERT660670,2021-07-17 07:00:00,2021-07-17 04:00:00,89 to 95 Brighton AVE Allston 02134,21,756250.674532523,2953849.44359845
ALT997205,2021-07-17 06:30:00,2021-07-17 03:00:00,173 to 175 Ipswich ST Boston 02215,05,765498.895769104,2951617.05962177
ERT925378,2021-07-17 06:00:00,2021-07-23 07:00:00,50 Sudbury ST Boston 02114,03,775122.909848592,2957324.56369139
ERT766946,2021-07-17 06:00:00,2021-07-23 01:00:00,150 Seaport BLVD Boston 02210,06,779752.600955154,2953153.8283199
ERT860060,2021-07-17 06:00:00,2021-07-17 11:00:00,115 Federal ST Boston 02110,03,775909.575902343,2954524.89089151
ALT955915,2021-07-17 06:00:00,2021-07-23 07:00:00,50 SUDBURY ST NorthEnd/ 02113,03,0,0
ALT1197818,2021-07-17 06:00:00,2021-07-17 04:00:00,200 Clarendon ST Boston 02116,04,771016.891385779,2952567.07111368
ERT971653,2021-07-17 06:00:00,2021-07-18 04:00:00,174 Ipswich ST Boston 02215,05,765631.893206522,2951467.02448878
ERT923956,2021-07-17 06:00:00,2021-07-17 05:00:00,99 Blackstone ST Boston 02109,03,776223.773998626,2957083.3989286
ALT902102,2021-07-17 06:00:00,2021-07-17 06:00:00,1 Post Office SQ Boston 02109,03,776448.999998838,2955360.00001228
ERT992394,2021-07-17 06:00:00,2021-07-18 06:00:00,370 Summer St Boston 02210,06,778724.107257731,2952469.45856894
ERT1053313,2021-07-17 06:00:00,2021-07-24 06:00:00,271 E Eighth ST South Boston 02127,07,777874.736848174,2946167.4612485
SF1212088,2021-07-16 11:00:00,2021-07-16 07:00:00,125 Summer ST Boston 02111,03,775795.985719974,2954017.43867304
ERT1053313,2021-07-16 06:00:00,2021-07-16 10:00:00,271 E Eighth ST South Boston 02127,07,777874.736848174,2946167.4612485
ERT891330,2021-07-16 06:00:00,2021-07-16 06:00:00,43 to 61 Pier 4 BL Boston 02210,06,779190.015983332,2952969.24454191
ERT1037077,2021-07-15 05:00:00,2021-07-16 05:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
SF1118362,2021-07-15 02:00:00,2021-07-15 11:59:00,725 William T Morrissey BLVD Dorchester 02122,16,777895.406161305,2933404.987481
ALT1111252,2021-07-14 09:00:00,2021-07-14 05:00:00,1 City Hall PLZ Boston 02108,03,775553.486225639,2956629.78240587
ALT979077,2021-07-14 06:00:00,2021-07-14 12:00:00,182 Webster ST East Boston 02128,01,782021.00182803,2958648.53134334
ERT1022776,2021-07-14 06:00:00,2021-07-16 10:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
