ERT1029866,2021-06-05 08:00:00,2021-06-05 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ALT1167151,2021-05-29 08:00:00,2021-05-29 04:00:00,82 to 84 Rossmore RD Jamaica Plain 02130,11,762900.146994218,2935979.50165823
ERT1029866,2021-05-29 08:00:00,2021-05-29 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ALT1150198,2021-05-22 08:00:00,2021-05-22 04:00:00,761 to 765 Centre St Jamaica Plain 02130,19,760246.553842947,2938339.77919656
ALT1167151,2021-05-22 08:00:00,2021-05-22 04:00:00,82 to 84 Rossmore RD Jamaica Plain 02130,11,762900.146994218,2935979.50165823
ERT188048,2021-05-22 08:00:00,2021-05-22 04:00:00,197 Green ST Jamaica Plain 02130,11,762884.976950765,2938089.44686699
ERT1029866,2021-05-22 08:00:00,2021-05-22 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ALT1167151,2021-05-15 08:00:00,2021-05-15 00:00:00,82 to 84 Rossmore RD Jamaica Plain 02130,11,762900.146994218,2935979.50165823
ERT1029866,2021-05-15 08:00:00,2021-05-15 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT1029866,2021-05-08 08:00:00,2021-05-08 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT1029866,2021-05-01 08:00:00,2021-05-01 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT399993,2021-04-24 08:00:00,2021-04-24 05:00:00,119 to 125 Hyde Park AVE Jamaica Plain 02130,19,760132.935820626,2933627.61795878
ERT652881,2021-04-24 08:00:00,2021-04-24 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ERT1029866,2021-04-24 08:00:00,2021-04-24 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
SF1151786,2021-04-24 07:00:00,2021-04-24 03:30:00,493 Centre ST Jamaica Plain 02130,19,760844.30248031,2941327.1203192
SF1160581,2021-04-19 08:00:00,2021-04-17 04:00:00,15 Goodway RD Roslindale 02130,19,760237.588687748,2930730.57848534
ERT1029866,2021-04-19 07:00:00,2021-04-19 06:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT652881,2021-04-17 08:00:00,2021-04-17 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ERT1029866,2021-04-17 08:00:00,2021-04-17 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
SF1151786,2021-04-17 07:00:00,2021-04-17 03:30:00,493 Centre ST Jamaica Plain 02130,19,760844.30248031,2941327.1203192
ERT652881,2021-04-10 08:00:00,2021-04-10 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ERT1029866,2021-04-10 08:00:00,2021-04-10 03:30:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT652881,2021-04-03 08:00:00,2021-04-03 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ALT1167151,2021-04-03 08:00:00,2021-04-03 04:00:00,82 to 84 Rossmore RD Jamaica Plain 02130,11,762900.146994218,2935979.50165823
SF1176588,2021-04-03 08:00:00,2021-04-03 04:00:00,15 Eastland RD Jamaica Plain 02130,19,760671.90574415,2931618.08815017
ERT1029866,2021-04-03 08:00:00,2021-04-03 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT652881,2021-03-27 08:00:00,2021-03-27 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ERT1029866,2021-03-27 08:00:00,2021-03-27 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ERT652881,2021-03-21 08:00:00,2021-03-22 04:00:00,50 Stedman ST Jamaica Plain 02130,11,762218.889667526,2935852.46411393
ERT839405,2021-03-20 08:00:00,2021-03-20 04:00:00,106 Forest Hills ST Jamaica Plain 02130,11,763744.504978269,2937628.20751587
ERT839405,2021-03-06 03:00:00,2021-03-06 06:00:00,106 Forest Hills ST Jamaica Plain 02130,11,763744.504978269,2937628.20751587
SF1122606,2021-03-06 03:00:00,2021-03-06 06:00:00,46 Sheridan ST Jamaica Plain 02130,19,762275.989233643,2942288.4547521
ERT1029866,2021-02-27 08:00:00,2021-02-27 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ALT839440,2021-01-30 08:00:00,2021-01-30 04:00:00,11 Minton ST Jamaica Plain 02130,11,763244.145522535,2939381.17375739
ERT1029866,2021-01-09 08:00:00,2021-01-09 04:00:00,97 to 101 Carolina AV Jamaica Plain 02130,11,761219.615521853,2937456.51158624
ALT1010598,2020-12-12 06:00:00,2020-12-12 03:00:00,418 Pond ST Jamaica Plain 02130,19,755831.470506302,2937160.96812019
